student_id,first_name,last_name,email,phone_number,address,program_name,year
21bc9a71-d2ae-496e-97ee-11fce7030c3d,William,Ramirez,christianduncan@example.com,+1-999-869-0090,"463 Maria Tunnel Apt. 156
Lake Alexis, ID 31843",B.Sc. in Healthcare Informatics,Senior
af1bdbb8-c351-47bb-a7d1-3ea1b612dfc1,Dustin,Mckinney,ohart@example.org,987.909.9002x0530,"776 Joshua Plains
New Abigailberg, NE 00884",M.Sc. in Applied Chemistry and Environmental Engineering,Senior
5b472a51-06a8-4b5a-92db-c38508bce025,Caleb,Harris,david81@example.org,+1-813-676-8047x80586,"6932 Emma Passage
West Kristen, ND 97689",B.Sc. in Applied Mathematics,Sophomore
ce17f2c5-a5f4-4d5a-89a0-c22da5d0ed9b,Thomas,Grant,lluna@example.com,867-237-0166x23326,"47410 Stewart Burgs
Smithfurt, NC 11401",B.Sc. in Artificial Intelligence,Freshman
ee0dbfba-3e26-4b8b-912c-77e6d06c272a,Mike,Klein,wmueller@example.org,001-526-611-1739x177,"6157 Erika Corner
Johnsonville, ND 15371",B.Sc. in Applied Mathematics,Senior
0583e5ee-b4ad-44c4-b1af-de61ab1527d4,Melissa,Brennan,stephanie39@example.net,669-448-6814x2842,"74614 James Rue
North Megan, LA 16946",M.Sc. in Mechatronics,Sophomore
1a5dfaf5-258d-4176-9bc6-82111c6194d4,Lynn,Lee,hahnkristine@example.net,581-337-2933x685,"2564 Carla Mission
West Jeremy, AK 03497",M.Sc. in International Management,Sophomore
6b1472bf-0f9b-488c-9407-8e35c42dbeed,Seth,Mullins,sleblanc@example.net,001-613-925-1036x290,"406 Murphy Cliff
Millermouth, MO 67265",B.Sc. in Artificial Intelligence,Junior
7bfe1792-4e5b-4865-b3ae-67412e24b014,Brittany,Nguyen,hoovermargaret@example.org,001-445-818-5276x52779,"Unit 3292 Box 9115
DPO AE 41425",B.A. in International Management,Junior
c263017a-2631-4bdd-ad00-16d0dc4491c5,Megan,Hogan,xwalker@example.net,210-278-7733,"2782 Lloyd Hills Suite 299
Dannyshire, WV 76102",B.A. in Business Informatics,Senior
d85094ad-37e2-4d69-96ea-6dbb0293398d,Bob,Sullivan,gabrielle16@example.org,(652)223-5047x245,"6123 Henry Turnpike Apt. 416
West Spencer, WI 32138",B.Sc. in Applied Mathematics,Freshman
87246264-13e1-45b6-8e63-8b5fab00e932,Amanda,Perry,laura42@example.com,001-957-580-0378x93355,"82298 Robin Rapid
Lowestad, AR 50997",M.Sc. in Applied Physics,Freshman
23ddcbe2-c751-4235-8105-ef8dc3eb7fb9,Michael,Moore,chasemichael@example.org,(670)820-8090x809,"02674 Christopher Spurs Apt. 226
Cameronland, NE 17487",M.Sc. in Applied Physics,Freshman
012ed15e-7f30-42f0-8601-4e6f37e48cb1,Mary,Mendoza,estradayvonne@example.com,309.290.4849x841,"88374 Greene Stravenue Apt. 404
Port Tammy, AL 57790",B.Sc. in Applied Mathematics,Sophomore
40797088-5825-4db4-a034-818c47385b11,Angelica,King,michaeljimenez@example.net,308-296-9022,"1216 Mitchell View
Port Brandyfort, IN 74166",B.Sc. in Applied Computer Science,Senior
e2bac550-27ba-4fc9-916c-75536e460b3e,Elizabeth,Burch,millermichael@example.com,706-604-0018x7545,"44667 Lori Harbor
Kelseyfort, NY 71285",M.Sc. in Applied Physics,Junior
810352f6-c4e1-45bb-bcc9-484247ed265a,Mark,Mendoza,cynthia37@example.org,(651)308-5378,"4503 Page Burgs Apt. 490
Robertborough, MO 98392",M.Sc. in Mechatronics,Sophomore
7a9ad070-7c38-4353-a41c-dcf7bb8e50a3,Tammy,Chaney,rtucker@example.com,001-813-991-1384x0816,"175 Misty Via Apt. 506
Englishfurt, OK 03519",M.Sc. in Applied Mathematics,Freshman
687c9e95-f6b5-41a8-87e0-a940d25dd620,Eric,Jefferson,scochran@example.org,851-213-4006,"20209 Candice Curve Suite 740
East Martin, ID 26109",M.Sc. in Technology and Management,Senior
5e0242e4-71ca-4fdf-9ef6-f8b425ab7ded,Billy,Allen,christine67@example.net,353.214.7736x4879,"751 Norton Expressway
South Margaretside, PR 71426",M.Sc. in Applied Mathematics,Sophomore
d041d3ec-d9a6-4b43-8a70-01101fc16ce6,Sarah,Ferguson,alec74@example.com,001-837-693-7494x2859,"2785 Diana Fort
Stewartstad, OR 63120",M.Sc. in International Management,Freshman
57548b21-cfac-4a9e-b3aa-0268bf4e454a,Amy,Schultz,donna88@example.org,605.888.9514x50999,"4586 Kimberly Vista
East Adam, KY 57781",B.Sc. in Applied Computer Science,Senior
18e6b005-ca44-4e0c-b747-3c18ef064363,Zachary,Davidson,katkinson@example.com,(201)621-8904x8240,"32343 White Inlet Apt. 392
Port Andreamouth, MP 54631",M.Sc. in Applied Computer Science,Junior
b547a75c-01d5-4f4a-b9be-d439d67e5c22,Melissa,Taylor,lindsey41@example.com,+1-789-965-5842x491,"05528 Henry Lodge Apt. 363
Johnsonmouth, AL 26013",M.Sc. in Applied Chemistry and Environmental Engineering,Sophomore
ba606cf9-8932-4465-a2c7-70013807e0d6,Tracy,Perez,xcrosby@example.org,+1-573-698-6235,"PSC 8161, Box 9328
APO AE 76156",B.Sc. in Healthcare Informatics,Junior
